time,x,y,cx,cy,dist,c,screen_width,screen_height
29629.36,117,56,963,234,210.38060747131613,20,1536,864
29669.440000000002,34,-46,963,234,191.47062437878037,20,1536,864
29711.18,260,174,963,234,315.19676394277906,20,1536,864
29750.159999999996,315,76,963,234,239.76655313033135,20,1536,864
29795.019999999997,490,91,963,234,365.9207564487153,20,1536,864
29834.299999999996,219,145,963,234,281.4551474036316,20,1536,864
29872.839999999997,438,-193,963,234,241.81397809059757,20,1536,864
29913.260000000002,-47,-333,963,234,318.29074758779905,20,1536,864
29948.58,173,164,963,234,301.4962686336267,20,1536,864
29988.059999999998,395,108,963,234,310.4834939252005,20,1536,864
30028.760000000002,446,131,963,234,361.0235449385538,20,1536,864
30071.82,1020,632,963,234,1121.2996923213705,20,1536,864
30115.879999999997,-244,-204,963,234,452.142676596669,20,1536,864
30155.339999999997,466,93,963,234,348.72625367184503,20,1536,864
30193.82,106,-167,963,234,101.83319694480774,20,1536,864
30230.440000000002,269,-79,963,234,87.20665112249179,20,1536,864
30269.32,349,178,963,234,346.2831211595506,20,1536,864
30308.32,697,281,963,234,646.4711903867023,20,1536,864
30351.58,556,245,963,234,519.3938775149356,20,1536,864
30393.199999999997,483,122,963,234,380.741382042982,20,1536,864
30472.72,-147,-44,963,234,361.8894858931384,19,1536,864
30516.559999999998,1064,77,963,234,886.9554667512907,19,1536,864
30571.22,1412,366,963,234,1309.0779197587897,19,1536,864
30623.42,610,115,963,234,478.17360864020924,19,1536,864
30701.6,-219,221,963,234,552.7503957483884,18,1536,864
30745.72,-656,222,963,234,930.6153877945496,18,1536,864
30783.620000000003,-1417,-389,963,234,1639.636850037227,18,1536,864
30820.46,-1674,-334,963,234,1887.4143689184948,18,1536,864
30896.940000000002,-201,-21,963,234,420.0488066879848,17,1536,864
30939.299999999996,-9,389,963,234,566.1881312779349,17,1536,864
30987.339999999997,311,272,963,234,422.05212948165536,17,1536,864
31044.339999999997,-126,420,963,234,646.0472118970873,17,1536,864
31125.4,-256,-125,963,234,459.1317893590031,16,1536,864
31185,-261,145,963,234,542.4546063957795,16,1536,864
31224.620000000003,-240,68,963,234,487.71405556944944,16,1536,864
31292.519999999997,-150,-32,963,234,368.00135869314397,15,1536,864
31361.299999999996,270,391,963,234,531.2419411153453,15,1536,864
31398.92,308,82,963,234,241.96900627972997,15,1536,864
31469.239999999998,188,-90,963,234,48.38388161361178,14,1536,864
31567.42,-407,-546,963,234,734.9829930005184,14,1536,864
31745.659999999996,-1251,-1112,963,234,1751.1973047032707,14,1536,864
31833.64,353,-104,963,234,153.37535656030275,13,1536,864
31935.019999999997,29,-628,963,234,521.8620507375489,13,1536,864
32025.18,1766,693,963,234,1769.239949808957,12,1536,864
32096.08,-159,-328,963,234,409.76578676116924,12,1536,864
32142.92,-481,-262,963,234,695.5084471090197,12,1536,864
32218.9,-693,-546,963,234,985.3506989899586,11,1536,864
32283.879999999997,-32,-613,963,234,531.7461800520997,11,1536,864
32329.46,-960,-1437,963,234,1745.0415467833423,11,1536,864
32397.78,-40,-415,963,234,369.98648623970035,10,1536,864
32493.4,-88,-636,963,234,578.5162054774265,10,1536,864
32534.68,230,-418,963,234,283.28960446864266,10,1536,864
32610.08,-883,-861,963,234,1305.7645270109003,9,1536,864
32650.22,-2214,-1467,963,234,2759.248085982846,9,1536,864
32694.64,-892,-749,963,234,1254.9079647527942,9,1536,864
32738.239999999998,-766,-439,963,234,1015.2684374095355,9,1536,864
32807.479999999996,427,-623,963,234,536.0457070064082,8,1536,864
32846.34,-828,-771,963,234,1210.8616766584034,8,1536,864
32885,-1787,-1512,963,234,2419.3957923415505,8,1536,864
32926.38,1382,270,963,234,1246.947071851889,8,1536,864
32994.74,331,-22,963,234,171.40595088852663,7,1536,864
33034.36,559,-66,963,234,362.8167581576132,7,1536,864
33074,-340,-172,963,234,544.192061684108,7,1536,864
33113.42,-469,-576,963,234,803.2334654382871,7,1536,864
33184.08,758,321,963,234,718.9394967589415,6,1536,864
33224.96,1254,614,963,234,1291.1626543545938,6,1536,864
33263.799999999996,2412,887,963,234,2434.3808247683846,6,1536,864
33301.38,-433,-268,963,234,649.5536929307692,6,1536,864
33368.74,529,-370,963,234,401.2879265564814,5,1536,864
33413.02,1968,730,963,234,1966.0063580772062,5,1536,864
33450.22,1754,597,963,234,1715.4853540616427,5,1536,864
33486.46,1871,437,963,234,1763.6759906513441,5,1536,864
33596.24,710,160,963,234,587.0817660258238,4,1536,864
33659.76,776,-64,963,234,577.5058441262737,4,1536,864
33705.78,440,-142,963,234,237.0759372015642,4,1536,864
34032.88,966,-19,963,234,771.9183894687313,3,1536,864
34087.78,127,-439,963,234,312.385979198811,3,1536,864
34133.88,-273,-869,963,234,873.9937070711665,3,1536,864
34210.1,-535,-1098,963,234,1212.471855343455,2,1536,864
34255.36,-322,-443,963,234,608.172672848756,2,1536,864
34300.64,36,-358,963,234,277.80028797681257,2,1536,864
34342.76,250,-332,963,234,201.55644370746373,2,1536,864
34415.28,203,-136,963,234,0,1,1536,864
34456,33,-259,963,234,209.83088428541686,1,1536,864
34495.06,255,121,963,234,262.20793275566626,1,1536,864
34533,-785,-501,963,234,1053.265873367214,1,1536,864
