time,x,y,cx,cy,dist,c,screen_width,screen_height
25036.32,827,358,963,456,680.7055163578448,20,1536,864
25081.08,1222,467,963,456,1087.8979731574098,20,1536,864
25123.28,-250,99,963,456,453.1864958270491,20,1536,864
25172.660000000003,887,497,963,456,797.983082527443,20,1536,864
25213.379999999997,532,216,963,456,353.7527385053012,20,1536,864
25258.800000000003,-90,-118,963,456,357.0224082603219,20,1536,864
25307.620000000003,83,87,963,456,120.00416659433121,20,1536,864
25363.5,225,148,963,456,65.7875368135941,20,1536,864
25413.559999999998,146,153,963,456,87.96590248499699,20,1536,864
25455.120000000003,-28,77,963,456,231.17525819170183,20,1536,864
25492.059999999998,166,203,963,456,122.71104269787622,20,1536,864
25526.78,-245,-182,963,456,522.0421438926171,20,1536,864
25562.059999999998,-277,-72,963,456,505.3355320972393,20,1536,864
25617.800000000003,-325,51,963,456,529.1587663452246,20,1536,864
25659.54,40,279,963,456,252.62224763468478,20,1536,864
25693.58,4,167,963,456,214.85343841791317,20,1536,864
25730.120000000003,348,347,963,456,298.573274088623,20,1536,864
25769.120000000003,486,404,963,456,425.69120263402203,20,1536,864
25809.980000000003,-123,23,963,456,332.0316249997882,20,1536,864
25855.200000000004,78,80,963,456,125.14391715141412,20,1536,864
25923.96,369,211,963,456,207.80038498520642,19,1536,864
25967.68,664,330,963,456,521.590835809066,19,1536,864
26010.08,454,185,963,456,269.8184574857695,19,1536,864
26053.82,-203,80,963,456,406.0443325549564,19,1536,864
26130.480000000003,-165,79,963,456,368.06657006579667,18,1536,864
26188.08,162,66,963,456,45.617978911828175,18,1536,864
26226.72,-360,-8,963,456,570.7933075991693,18,1536,864
26302.1,-546,-272,963,456,830.1596232050798,17,1536,864
26343.879999999997,-1375,-677,963,456,1752.7843563884292,17,1536,864
26389.5,-1088,-513,963,456,1423.1942945360622,17,1536,864
26449.14,31,71,963,456,172.6528308484978,17,1536,864
26529.059999999998,-17,24,963,456,228.56946427727394,16,1536,864
26571.559999999998,-64,172,963,456,280.5084668953862,16,1536,864
26615.64,-249,141,963,456,455.3339433866094,16,1536,864
26654.96,-438,62,963,456,641.4491406183346,16,1536,864
26731.239999999998,-79,47,963,456,284.6840353795766,15,1536,864
26779.72,-695,-424,963,456,1032.7168053246737,15,1536,864
26817.760000000002,-857,-386,963,456,1160.3378818258068,15,1536,864
26855.9,-471,-357,963,456,806.5513002903164,15,1536,864
26926.46,796,324,963,456,638.978090391212,14,1536,864
26966.299999999996,502,276,963,456,354.2612030691478,14,1536,864
27010.5,420,267,963,456,282.57742301889584,14,1536,864
27048.54,-5,38,963,456,213.46662502602135,14,1536,864
27116.199999999997,-355,-246,963,456,649.2980825476077,13,1536,864
27155.299999999996,-510,-149,963,456,750.728979059687,13,1536,864
27192.299999999996,-674,-453,963,456,1029.3930250395133,13,1536,864
27227.5,-72,236,963,456,313.2491021535417,13,1536,864
27312.019999999997,641,542,963,456,632.281582841063,12,1536,864
27359.54,1312,732,963,456,1283.4317278297276,12,1536,864
27406.6,730,581,963,456,723.0172888665941,12,1536,864
27491.04,1167,682,963,456,1133.3631368630267,11,1536,864
27544.019999999997,242,247,963,456,165.65627063289816,11,1536,864
27581.159999999996,350,420,963,456,364.9177989629993,11,1536,864
27628.699999999997,885,537,963,456,817.6337811025178,11,1536,864
27700.379999999997,-80,-213,963,456,411.6916321714591,10,1536,864
27742.239999999998,448,188,963,456,265.3846265328872,10,1536,864
27799.479999999996,367,295,963,456,265.6633207652121,10,1536,864
27844.159999999996,517,321,963,456,392.20020397750943,10,1536,864
27919.799999999996,509,320,963,456,385.21682206258856,9,1536,864
27958.519999999997,1122,656,963,456,1081.4162010992807,9,1536,864
28004.46,1745,966,963,456,1775.4334681986818,9,1536,864
28049.92,345,362,963,456,310.3868553917836,9,1536,864
28128.04,557,249,963,456,389.72426149779284,8,1536,864
28177.760000000002,894,448,963,456,780.0801240898271,8,1536,864
28221.879999999997,444,163,963,456,253.00197627686626,8,1536,864
28262.1,189,-3,963,456,90.09439494219383,8,1536,864
28331.96,-58,-113,963,456,328.2102984368406,7,1536,864
28375.08,-396,-57,963,456,615.8327695080865,7,1536,864
28416.14,461,80,963,456,258.0697580112788,7,1536,864
28451.14,537,107,963,456,334.6595284763307,7,1536,864
28521.14,447,205,963,456,271.4719138327205,6,1536,864
28563.96,447,312,963,456,332.5838240203513,6,1536,864
28600.04,-183,-288,963,456,537.4681385905587,6,1536,864
28637.260000000002,109,-279,963,456,376.90980353394895,6,1536,864
28701.4,203,86,963,456,0,5,1536,864
28740.559999999998,710,360,963,456,576.3028717610212,5,1536,864
