time,x,y,vx,vy,dist,c,valid,screen_width,screen_height
61434.05000003986,280,134,184,540,621,0,0,1536,864
61457.835000008345,220,152,184,540,560,0,0,1536,864
61481.59999999916,199,-29,184,540,579,0,0,1536,864
61504.87499998417,166,-70,184,540,566,0,0,1536,864
61527.66000002157,166,-70,184,540,566,0,0,1536,864
61551.68999999296,101,-48,184,540,498,0,0,1536,864
61574.22499998938,182,29,184,540,544,0,0,1536,864
61597.46499999892,150,93,184,540,497,0,0,1536,864
61621.71000003582,192,-41,184,540,577,0,0,1536,864
61646.04500000132,187,48,184,540,544,0,0,1536,864
61669.555000029504,-35,89,184,540,319,0,0,1536,864
61693.774999992456,-35,89,184,540,319,0,0,1536,864
61716.829999990296,-409,26,184,540,175,0,1,1536,864
61741.45500001032,-279,-44,184,540,238,1,0,1536,864
61766.16500003729,-148,-123,184,540,364,1,0,1536,864
61788.73999998905,-267,-100,184,540,295,1,0,1536,864
61811.805000004824,-267,-100,184,540,295,1,0,1536,864
61836.70500002336,-382,4,184,540,187,1,1,1536,864
61860.97000003792,-301,-112,184,540,301,2,0,1536,864
61883.51000001421,-301,-112,184,540,301,2,0,1536,864
61907.50500001013,-250,-118,184,540,317,2,0,1536,864
61930.87500002002,-342,80,184,540,107,2,1,1536,864
61954.80499998666,-331,17,184,540,170,3,1,1536,864
61981.70000000391,-331,17,184,540,170,4,1,1536,864
62006.21000002138,-319,-8,184,540,196,5,1,1536,864
62033.04000000935,-361,138,184,540,53,6,1,1536,864
62061.89000001177,-361,138,184,540,53,7,1,1536,864
62085.590000031516,-501,57,184,540,207,8,0,1536,864
62108.81000000518,-331,-58,184,540,245,8,0,1536,864
62148.150000022724,-308,12,184,540,177,8,1,1536,864
62174.6099999873,-405,-16,184,540,213,9,0,1536,864
62206.22500003083,-329,0,184,540,187,9,1,1536,864
62231.2099999981,-296,40,184,540,153,10,1,1536,864
62255.71500003571,-461,7,184,540,217,11,0,1536,864
62278.46500003943,-461,7,184,540,217,11,0,1536,864
62302.66500002472,-424,118,184,540,109,11,1,1536,864
62326.2349999859,-380,-98,184,540,287,12,0,1536,864
62356.06000002008,-352,81,184,540,106,12,1,1536,864
62382.02000001911,-352,81,184,540,106,13,1,1536,864
62406.145000015385,-314,113,184,540,78,14,1,1536,864
62429.86000003293,-300,37,184,540,154,15,1,1536,864
62454.44000000134,-470,131,184,540,142,16,1,1536,864
62478.899999987334,-320,-59,184,540,246,17,0,1536,864
62504.500000039116,-320,-59,184,540,246,17,0,1536,864
62528.61500001745,-367,52,184,540,137,17,1,1536,864
62553.584999986924,-252,-37,184,540,240,18,0,1536,864
62576.86000003014,-344,-17,184,540,204,18,0,1536,864
62601.30500001833,-344,-17,184,540,204,18,0,1536,864
62623.9100000239,-330,99,184,540,88,18,1,1536,864
62648.77000002889,-314,188,184,540,25,19,1,1536,864
62676.77499999991,-286,84,184,540,115,20,1,1536,864
