time,x,y,tx,ty,status,image_1,image_2,left_stim,right_stim,screen_width,screen_height
538905.139999988,-64,-243,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
538927.9649999808,-141,-226,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
538959.5049999771,-72,-539,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
538982.1399999782,140,-586,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539005.4249999812,189,-712,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539029.1549999965,50,-480,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539051.6800000332,335,-464,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539075.1649999875,762,-739,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539119.8999999906,885,-878,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539146.9700000016,536,-345,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539180.5150000146,659,-484,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539204.235000012,666,30,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539226.8349999795,314,47,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539249.690000026,-184,-215,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539274.0249999915,-112,-107,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539296.4950000169,-273,-65,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539318.7800000305,-8,-58,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539343.9249999938,-208,-250,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539366.9300000183,451,-582,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539390.2150000213,310,-321,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539415.3800000204,1097,-293,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539439.4600000232,1519,-758,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539461.9700000039,1431,-633,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539486.4400000079,1309,-406,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539510.4649999994,951,-704,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539533.9849999873,728,33,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539558.2949999953,1045,-35,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539580.8599999873,1065,-91,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539604.7600000165,1179,644,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539628.704999981,913,176,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539658.8699999847,540,200,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539682.8899999964,754,15,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539714.0800000052,783,50,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539743.2900000131,773,602,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539767.1700000064,1006,-445,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
539797.6299999864,838,317,-1,-1,fixation_onset,https://dl.dropbox.com/s/n6unw7avsz382yk/scrambled_scratchie_2.gif?dl=0,https://dl.dropbox.com/s/e9q4xc3rne604q1/scrambled_chalkboard.jpeg?dl=0,gambling,gambling_matched,1536,864
