time,x,y,tx,ty,status,image_1,image_2,left_stim,right_stim,screen_width,screen_height
530978.7200000137,-78,-186,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531002.3250000086,-180,-411,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531025.1099999878,-180,-411,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531048.5399999889,-450,-481,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531072.1050000284,-414,-403,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531095.6599999918,-162,-107,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531119.9050000287,-237,-81,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531144.3750000326,-30,-139,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531173.9800000214,63,-291,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531204.0549999801,97,-108,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531229.0050000302,58,-203,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531252.0200000145,-116,-35,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
531275.3900000243,-123,-85,-1,-1,fixation_onset,https://dl.dropbox.com/s/dxl231vkki41nvb/scrambled_gaap28_ar.png?dl=0,https://dl.dropbox.com/s/7tez9k7ky6kqyru/scrambled_GAAP28_Tea_AR.png?dl=0,alcohol,alcohol_match,1536,864
