time,x,y,tx,ty,status,image_1,image_2,left_stim,right_stim,screen_width,screen_height
627271.4450000203,170,-266,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627302.3399999947,461,-23,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627325.5450000288,6,-400,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627349.7150000185,-45,-19,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627373.8850000082,-29,-427,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627397.9150000378,112,-520,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627422.5300000398,42,-525,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627446.1950000259,184,-611,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627469.3350000307,541,-427,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
627493.1799999904,480,-435,-1,-1,fixation_onset,https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,1536,864
