time,x,y,vx,vy,dist,c,valid,screen_width,screen_height
64350.634999980684,260,-42,184,540,641,0,0,1536,864
64375.88000000687,250,59,184,540,602,0,0,1536,864
64406.22499998426,292,37,184,540,648,0,0,1536,864
64428.98500000592,137,70,184,540,490,0,0,1536,864
64453.26500001829,137,70,184,540,490,0,0,1536,864
64476.36500000954,258,71,184,540,608,0,0,1536,864
64499.76500001503,384,312,184,540,733,0,0,1536,864
64523.449999978766,332,49,184,540,685,0,0,1536,864
64546.744999999646,332,49,184,540,685,0,0,1536,864
64570.46999997692,293,-76,184,540,684,0,0,1536,864
64594.28499999922,308,150,184,540,648,0,0,1536,864
64617.38499999046,-157,21,184,540,246,0,0,1536,864
64640.91000001645,43,66,184,540,400,0,0,1536,864
64667.35499998322,-360,82,184,540,107,0,1,1536,864
64693.425000004936,-383,-42,184,540,233,1,0,1536,864
64717.99999999348,-428,-198,184,540,395,1,0,1536,864
64745.3600000008,-193,166,184,540,147,1,1,1536,864
64770.01999999629,-373,70,184,540,121,2,1,1536,864
64794.59499998484,-280,86,184,540,116,3,1,1536,864
64819.94000001578,-450,296,184,540,155,4,1,1536,864
64844.20500003034,-248,160,184,540,94,5,1,1536,864
64868.27999999514,-435,108,184,540,124,6,1,1536,864
64893.9900000114,-343,144,184,540,43,7,1,1536,864
64919.26500003319,-11,310,184,540,350,8,0,1536,864
64942.57499999367,-160,65,184,540,216,8,0,1536,864
64967.170000018086,-345,-44,184,540,231,8,0,1536,864
64990.259999991395,-290,-34,184,540,226,8,0,1536,864
65013.97500000894,-464,-17,184,540,239,8,0,1536,864
65038.55499997735,-149,166,184,540,191,8,1,1536,864
65062.12499999674,-6,110,184,540,341,9,0,1536,864
65085.56999999564,-386,285,184,540,108,9,1,1536,864
65112.985000014305,-142,192,184,540,197,10,1,1536,864
65145.29000001494,-142,192,184,540,197,11,1,1536,864
65171.919999993406,-318,104,184,540,85,12,1,1536,864
65198.19500000449,-380,67,184,540,126,13,1,1536,864
65222.19000000041,-446,-115,184,540,320,14,0,1536,864
65244.72000001697,-377,165,184,540,43,14,1,1536,864
65270.07500000764,-428,28,184,540,182,15,1,1536,864
65294.31999998633,6,-22,184,540,403,16,0,1536,864
65317.74500000756,-242,228,184,540,105,16,1,1536,864
65342.71499997703,-145,207,184,540,195,17,1,1536,864
65369.0550000174,-203,340,184,540,204,18,0,1536,864
65397.84500002861,-203,340,184,540,204,18,0,1536,864
65439.01500001084,-318,273,184,540,88,18,1,1536,864
65462.79499999946,-315,183,184,540,24,19,1,1536,864
65487.33000003267,-166,149,184,540,177,20,1,1536,864
