time,x,y,cx,cy,dist,c,screen_width,screen_height
25648.08000001358,-340,-26,341,434,190.8219064992277,20,1536,864
25669.68500002986,-319,-141,341,434,260.8696992753279,20,1536,864
25689.569999987725,-319,-141,341,434,260.8696992753279,20,1536,864
25705.94000001438,-584,-60,341,434,426.01056324931665,20,1536,864
25722.354999976233,-584,-60,341,434,426.01056324931665,20,1536,864
25739.91499998374,-455,31,341,434,277.5409879639402,20,1536,864
25757.4049999821,-455,31,341,434,277.5409879639402,20,1536,864
25773.594999976922,-511,-3,341,434,339.5541193977773,20,1536,864
25790.964999992866,-511,-3,341,434,339.5541193977773,20,1536,864
25808.064999990165,-510,-93,341,434,371.29503093900945,20,1536,864
25825.865000020713,-531,132,341,434,352.706676999458,20,1536,864
25843.419999990147,-592,98,341,434,410.3522876748709,20,1536,864
25859.564999991562,-542,154,341,434,367.3268299484806,20,1536,864
25875.935000018217,-423,36,341,434,245.16525039246488,20,1536,864
25899.165000009816,-398,-78,341,434,268.21073804007176,20,1536,864
25930.185000004712,-398,-78,341,434,268.21073804007176,20,1536,864
25957.524999976158,-257,29,341,434,91.2633551870629,20,1536,864
25975.55500001181,-215,12,341,434,76.48529270389177,20,1536,864
25992.484999995213,-186,-44,341,434,125.06398362438324,20,1536,864
26008.589999983087,-186,-44,341,434,125.06398362438324,20,1536,864
26025.714999996126,-263,38,341,434,91.706052144883,20,1536,864
26044.440000026952,-263,38,341,434,91.706052144883,20,1536,864
26076.860000030138,-363,-94,341,434,251.76576415390556,20,1536,864
26111.76499997964,-219,-26,341,434,113.21660655575224,20,1536,864
26143.24000000488,-258,-14,341,434,121.65936051122412,20,1536,864
26174.53999997815,-154,76,341,434,28.442925306655784,20,1536,864
26201.170000014827,254,67,341,434,436.22471273415954,20,1536,864
26218.270000012126,157,36,341,434,341.97368319799114,20,1536,864
26233.944999985397,37,225,341,434,262.1011255221923,20,1536,864
26251.035000022966,14,83,341,434,196.01020381602586,20,1536,864
26266.905000025872,-169,-74,341,434,155.54420593516173,20,1536,864
26283.820000011474,-272,-119,341,434,219.31712199461307,20,1536,864
26321.635000000242,125,-101,341,434,356.8935415498577,20,1536,864
26344.54999997979,-139,43,341,434,57.38466694161429,20,1536,864
26362.685000000056,-360,62,341,434,179.0111728356641,20,1536,864
26391.385000024457,-336,150,341,434,168.75129629131743,20,1536,864
26406.844999990426,-285,194,341,434,152.89865924853626,20,1536,864
26434.690000023693,-229,289,341,434,213.243991709028,19,1536,864
26451.270000019576,-114,102,341,434,71.16881339463234,19,1536,864
26467.780000006314,-114,102,341,434,71.16881339463234,19,1536,864
26484.31500000879,-30,-58,341,434,205.9732992404598,19,1536,864
26499.985000002198,-30,-58,341,434,205.9732992404598,19,1536,864
26521.594999998342,-144,60,341,434,43.41658669218482,19,1536,864
26540.755000023637,-155,205,341,434,126.90547663517127,19,1536,864
26570.874999975786,-390,97,341,434,208.61447696648477,18,1536,864
26588.9099999913,-252,53,341,434,75.39230729988306,18,1536,864
